     1 -           0.0066 -0.5658 -0.0645 -0.1348 -0.0873 -0.0208
     2 -          -0.0888 -0.5714 -0.0630 -0.1551 -0.0913 -0.0451
     3 -           0.1501 -0.1559  0.0470  0.0190  0.0361  0.0013
     4 -           0.0267 -0.0030  0.6016 -0.1556  0.0188 -0.0259
     5 -           0.1488  0.1948  0.0169  0.0027  0.0400  0.0195
     7 -           0.1529 -0.0409 -0.0423  0.0603 -0.0403 -0.0040
     8 -           0.3042  0.1657 -0.1057  0.0936 -0.0125 -0.0312
    10 -           0.1348 -0.7418  0.0186 -0.1507 -0.0326 -0.0128
    11 -           0.2114 -0.3006  0.0215  0.0001 -0.0170 -0.0028
    13 -           0.0740 -0.4069 -0.0537 -0.1359  0.0845  0.0062
    14 -           0.1743  0.0553 -0.0417 -0.0374  0.0158  0.0144
    15 -           0.1333 -0.2372 -0.0378  0.0482 -0.0713 -0.0246
    16 -           0.2882 -0.0529 -0.1631 -0.1542  0.0063  0.0047
    17 -           0.2202  0.3638 -0.0998 -0.0122  0.0095  0.0193
    18 -           0.1690  0.2006 -0.0982 -0.0213 -0.0006  0.0251
    19 -           0.1874 -0.5448 -0.0193 -0.1576  0.0853  0.0152
    20 -           0.0828  0.0126  0.0075 -0.0225 -0.0407  0.0090
    21 -           0.0695 -0.0655 -0.1907 -0.1423  0.0337 -0.0297
    22 -           0.3007 -0.3400 -0.1304 -0.1396 -0.0003  0.0117
    24 -           0.0538 -0.8253  0.0305 -0.2164 -0.0963 -0.0375
    25 -           0.2111  0.1435 -0.0026  0.1412  0.0146 -0.0231
    26 -           0.1850 -0.0340  0.0081  0.1121  0.0180  0.0121
    27 -           0.2299  0.0551  0.0012  0.1208  0.0228  0.0039
    28 -           0.1431  0.2727 -0.0862  0.0203 -0.0143  0.0148
    29 -           0.2066  0.1021 -0.1089 -0.0176  0.0144  0.0096
    30 -           0.2267  0.2999 -0.1444  0.0436 -0.0058 -0.0050
    32 -           0.2659  0.0736  0.0378 -0.0077  0.0420  0.0362
    33 -           0.1003  0.0265  0.0884 -0.0578  0.0552  0.0361
    34 -           0.0708 -0.3284 -0.0403 -0.1888  0.0933 -0.0004
    37 -           0.1850  0.2425 -0.0790  0.0081 -0.0188  0.0210
    38 -           0.1202 -0.2831 -0.0792 -0.1454  0.0684  0.0432
    39 -           0.2734 -0.1424 -0.0187  0.1023  0.0435 -0.0445
    40 -           0.1245  0.0467 -0.0877  0.0185 -0.0608  0.0028
    41 -           0.1064 -0.3852 -0.0367 -0.1519  0.0639 -0.0252
    42 -           0.2181 -0.0836 -0.1609  0.1117 -0.0465 -0.0431
    43 -           0.1951 -0.1644  0.0781  0.0952  0.0658 -0.0155
    48 -           0.0199 -0.6768  0.0171 -0.1860  0.0554 -0.0005
    49 -           0.0076 -0.4745 -0.0100 -0.1750  0.0830  0.0200
    50 -           0.0444 -0.5867  0.0365 -0.2036  0.0922  0.0061
    51 -           0.1805 -0.2955 -0.0856 -0.0912  0.1155  0.0433
    52 -           0.1746 -0.6677 -0.0279 -0.1441 -0.1152  0.0035
    54 -           0.0836 -0.1694 -0.0655 -0.1469  0.0817  0.0659
    55 -           0.2657 -0.3576 -0.0562 -0.1562  0.0254  0.0006
    56 -           0.1531 -0.1558 -0.1523 -0.1022 -0.0562  0.0047
    57 -           0.1743  0.2420 -0.0589 -0.0349  0.0205  0.0130
    58 -           0.0163 -0.4605 -0.0249 -0.1880  0.0637  0.0104
    61 -           0.1736  0.3090 -0.0777 -0.0090 -0.0116  0.0201
    63 -           0.2509  0.3242 -0.0953  0.1019 -0.0704 -0.0061
    64 -           0.1236  0.0173 -0.2290 -0.1002 -0.0352 -0.0030
    65 -           0.1823 -0.4111 -0.0376 -0.1855 -0.0464 -0.0116
    66 -           0.1002 -0.4831 -0.0282 -0.1727  0.0323  0.0244
    67 -           0.1569  0.1286  0.0332  0.0019 -0.0173  0.0251
    69 -           0.2931 -0.3341 -0.0540 -0.1494  0.0214  0.0048
    70 -           0.1197 -0.2700 -0.0648 -0.1585  0.1162  0.0292
    73 -           0.2270  0.3688 -0.0277 -0.0271  0.0394  0.0496
    76 -           0.2429 -0.6131 -0.0227 -0.1670 -0.0366 -0.0097
    77 -           0.1833 -0.1107 -0.2138 -0.1165 -0.0234 -0.0091
    78 -           0.1164 -0.4931 -0.0353 -0.1785  0.0365  0.0212
